,0,1,2,3
Unnamed: 0,Metals,Precious Metal,avg,sum
Jan 1998,43.9398697223943,24.7288093864891,34.3343395544417,68.6686791088834
Feb 1998,43.2109515074847,25.7096726676941,34.4603120875894,68.9206241751788
Mar 1998,43.5430107157636,25.5624698509564,34.55274028336,69.10548056672
Apr 1998,43.8425665839748,26.7584058135781,35.3004861987765,70.6009723975529
May 1998,42.3417504868724,25.8891412260398,34.1154458564561,68.2308917129122
Jun 1998,40.4911382124653,24.9262712237715,32.7087047181184,65.4174094362368
Jul 1998,40.4320995308422,25.1773895814566,32.8047445561494,65.6094891122988
Aug 1998,39.7708596062062,24.3487815311978,32.059820568702,64.119641137404
Sep 1998,40.0858565823081,24.6004527517911,32.3431546670496,64.6863093340992
Oct 1998,38.7117793952698,24.9788053879273,31.8452923915985,63.6905847831971
Nov 1998,38.7770530615834,24.8467093899889,31.8118812257862,63.6237624515723
Dec 1998,37.2727588688239,24.7757267712442,31.0242428200341,62.0484856400681
Jan 1999,36.3979017699577,24.641306431178,30.5196041005678,61.0392082011357
Feb 1999,36.9179853496467,24.9725886235483,30.9452869865975,61.890573973195
Mar 1999,37.2998430269003,24.7873404537834,31.0435917403418,62.0871834806837
Apr 1999,38.7698087925485,24.4752599607174,31.6225343766329,63.2450687532659
May 1999,39.9868603796555,24.0065944577548,31.9967274187052,63.9934548374103
Jun 1999,39.0181726121835,22.8652196611326,30.941696136658,61.8833922733161
Jul 1999,41.904732519579,22.5418956870413,32.2233141033102,64.4466282066203
Aug 1999,43.1364536655733,22.6221322522199,32.8792929588966,65.7585859177932
Sep 1999,45.2841386996068,23.3004065426538,34.2922726211303,68.5845452422606
Oct 1999,45.0880454150455,26.9321561172551,36.0101007661503,72.0202015323006
Nov 1999,45.8223831536905,25.7143703924043,35.7683767730474,71.5367535460948
Dec 1999,47.0480032859213,25.1275655122024,36.0877843990618,72.1755687981237
Jan 2000,49.2240774953746,25.3255260925484,37.2748017939615,74.549603587923
Feb 2000,50.2758210500086,27.5101855356643,38.8930032928365,77.7860065856729
Mar 2000,49.8056263334071,26.5151559755509,38.160391154479,76.320782308958
Apr 2000,47.7386633060845,25.6914121811878,36.7150377436361,73.4300754872723
May 2000,48.8968798629259,25.5660462407308,37.2314630518283,74.4629261036567
Jun 2000,46.7587886324183,26.6403418534162,36.6995652429173,73.3991304858345
Jul 2000,47.3418993754895,26.5811476751834,36.9615235253364,73.9230470506729
Aug 2000,47.3305240886198,26.3589669493762,36.844745518998,73.689491037996
Sep 2000,49.5039011309142,26.212730923774,37.8583160273441,75.7166320546882
Oct 2000,46.6422713605618,25.9395149647723,36.290893162667,72.5817863253341
Nov 2000,45.2566959426389,25.8700131400312,35.5633545413351,71.1267090826701
Dec 2000,46.4136248244662,26.843472659409,36.6285487419376,73.2570974838752
Jan 2001,46.2020926192955,26.9691792936023,36.5856359564489,73.1712719128978
Feb 2001,45.4812003978854,26.3413458109944,35.9112731044399,71.8225462088798
Mar 2001,43.9980916105395,25.4913794752162,34.7447355428778,69.4894710857557
Apr 2001,43.583062915158,24.9679163969308,34.2754896560444,68.5509793120888
May 2001,44.8873965149583,25.7260627081583,35.3067296115583,70.6134592231166
Jun 2001,43.0869331799233,25.2776700377949,34.1823016088591,68.3646032177182
Jul 2001,41.0769914932331,24.4918558885671,32.7844236909001,65.5688473818002
Aug 2001,39.7450436838489,24.1980623019098,31.9715529928793,63.9431059857587
Sep 2001,38.5235375255968,25.1000182711288,31.8117778983628,63.6235557967256
Oct 2001,37.2893987054615,24.4087889141074,30.8490938097844,61.6981876195689
Nov 2001,38.5605683294205,23.9259141728848,31.2432412511526,62.4864825023053
Dec 2001,39.0960920380611,24.3380182975119,31.7170551677865,63.434110335573
Jan 2002,40.4026980440354,24.8270544120474,32.6148762280414,65.2297524560828
Feb 2002,40.60334212957,25.6477678347181,33.1255549821441,66.2511099642881
Mar 2002,41.9684389950196,25.7577738580911,33.8631064265553,67.7262128531107
Apr 2002,41.9884579074994,26.4624807405766,34.225469324038,68.450938648076
May 2002,41.4703699891305,27.2631034927736,34.366736740952,68.7334734819041
Jun 2002,42.3792236692072,27.7911088436117,35.0851662564095,70.1703325128189
Jul 2002,41.8844577088498,27.0788047045431,34.4816312066964,68.9632624133929
Aug 2002,40.1280304967452,26.818046470719,33.4730384837321,66.9460769674642
Sep 2002,40.1081760198047,27.503020288774,33.8055981542893,67.6111963085787
Oct 2002,40.4394862665546,27.3175075673403,33.8784969169475,67.7569938338949
Nov 2002,42.267609234232,27.5263497522554,34.8969794932437,69.7939589864874
Dec 2002,42.3174686757255,28.2257572900177,35.2716129828716,70.5432259657432
